iter	Passed	Remaining
0	193	193784
1	385	192407
2	563	187135
3	737	183581
4	913	181834
5	1086	180036
6	1242	176316
7	1411	175083
8	1602	176496
9	1783	176536
10	1965	176735
11	2150	177057
12	2331	177011
13	2519	177448
14	2708	177862
15	2891	177830
16	3072	177645
17	3245	177076
18	3422	176695
19	3599	176388
20	3784	176416
21	4039	179571
22	4402	187024
23	4760	193605
24	5120	199688
25	5298	198487
26	5485	197695
27	5663	196619
28	5853	195980
29	6044	195425
30	6236	194944
31	6425	194360
32	6602	193483
33	6786	192813
34	7047	194321
35	7370	197362
36	7703	200500
37	8029	203281
38	8379	206467
39	8692	208615
40	9081	212409
41	9467	215959
42	9816	218475
43	10198	221587
44	10565	224219
45	10933	226753
46	11255	228217
47	11629	230651
48	12026	233409
49	12389	235405
50	12773	237683
51	13160	239923
52	13530	241770
53	13831	242313
54	14025	240988
55	14214	239618
56	14394	238140
57	14671	238281
58	15026	239657
59	15337	240292
60	15576	239782
61	15763	238486
62	15966	237466
63	16155	236269
64	16342	235087
65	16582	234662
66	16897	235310
67	17206	235824
68	17507	236223
69	17806	236576
70	18100	236837
71	18401	237171
72	18584	235996
73	18755	234699
74	18944	233643
75	19130	232583
76	19314	231526
77	19503	230541
78	19820	231077
79	20080	230923
80	20420	231684
81	20654	231230
82	20843	230279
83	21047	229522
84	21224	228478
85	21377	227197
86	21547	226124
87	21749	225402
88	21928	224454
89	22088	223334
90	22272	222480
91	22443	221511
92	22610	220509
93	22782	219581
94	22948	218613
95	23129	217805
96	23296	216873
97	23474	216061
98	23646	215205
99	23811	214300
100	23981	213458
101	24165	212754
102	24334	211922
103	24624	212153
104	24909	212322
105	25229	212785
106	25509	212893
107	25810	213176
108	26106	213406
109	26448	213993
110	26622	213218
111	26798	212474
112	26978	211768
113	27163	211116
114	27333	210352
115	27529	209796
116	27732	209295
117	27914	208647
118	28116	208157
119	28297	207515
120	28477	206875
121	28648	206174
122	28823	205513
123	29077	205415
124	29369	205583
125	29654	205699
126	29937	205791
127	30237	205994
128	30603	206630
129	30961	207205
130	31307	207679
131	31548	207457
132	31872	207771
133	32220	208231
134	32545	208533
135	32816	208479
136	33000	207876
137	33211	207448
138	33417	206998
139	33601	206406
140	33794	205879
141	33986	205353
142	34168	204770
143	34364	204275
144	34543	203684
145	34719	203084
146	34909	202572
147	35104	202087
148	35283	201516
149	35464	200963
150	35663	200517
151	35834	199917
152	36001	199302
153	36164	198670
154	36340	198113
155	36510	197530
156	36674	196921
157	36849	196374
158	37027	195849
159	37196	195280
160	37373	194761
161	37533	194154
162	37703	193606
163	37876	193078
164	38071	192666
165	38265	192250
166	38438	191731
167	38621	191267
168	38801	190791
169	38980	190317
170	39163	189860
171	39333	189350
172	39514	188892
173	39695	188440
174	39897	188088
175	40092	187706
176	40251	187160
177	40428	186696
178	40602	186225
179	40908	186360
180	41211	186477
181	41442	186265
182	41601	185727
183	41766	185226
184	41960	184852
185	42126	184358
186	42303	183919
187	42475	183458
188	42668	183092
189	42843	182646
190	43026	182243
191	43204	181817
192	43385	181409
193	43557	180967
194	43734	180546
195	43913	180134
196	44095	179740
197	44272	179324
198	44449	178915
199	44619	178477
200	44798	178081
201	44988	177725
202	45257	177687
203	45606	177953
204	45889	177960
205	46190	178036
206	46545	178313
207	46838	178346
208	47110	178300
209	47294	177915
210	47487	177573
211	47681	177232
212	47851	176801
213	48047	176473
214	48219	176056
215	48410	175713
216	48584	175307
217	48786	175004
218	49089	175063
219	49390	175111
220	49673	175094
221	49868	174766
222	50055	174408
223	50242	174053
224	50419	173667
225	50596	173283
226	50778	172914
227	50952	172524
228	51121	172116
229	51297	171734
230	51480	171378
231	51670	171047
232	51842	170658
233	52036	170341
234	52380	170516
235	52698	170600
236	53085	170904
237	53298	170646
238	53492	170326
239	53677	169977
240	53852	169601
241	54054	169311
242	54367	169366
243	54654	169340
244	54974	169410
